RecipeId,FullTitle,RecipeTitle,ChapterFk,Referance,Makes,Serving,Quantity, QtyType,Preparation,Cooking,Cuisine,Favourite, Image
34, 100 Recipes in no time at all, Jackie Alliss's Mushrooms Crème Fraiche, 02) Snackes & Starters,6,1,12,0, ,0,0,190, False, 
35, 100 Recipes in no time at all, Simple Salmon Mousse, 02) Snackes & Starters,7,1,4,0, ,0,0,190, False, 
36, 100 Recipes in no time at all, Asparags Mousse with Chive or Chervil Sauce, 02) Snackes & Starters,7,1,2,0, ,0,0,190, False, 
37, 100 Recipes in no time at all, John Lesilies Crispy Parma Ham and Melon Salad, 02) Snackes & Starters,8,1,4,0, ,0,0,190, False, 
38, 100 Recipes in no time at all, 30-Second Starter, 02) Snackes & Starters,8,1,4,0, ,0,0,190, False, 
39, 100 Recipes in no time at all, Prawn and Bacon Pate, 02) Snackes & Starters,8,1,4,0, ,0,0,190, False, 
40, 100 Recipes in no time at all, Pure Leith's Grilled Mediteranean Vegitables, 02) Snackes & Starters,10,1,6,0, ,0,0,190, False, 
41, 100 Recipes in no time at all, Garlic Prawns, 02) Snackes & Starters,10,1,2,0, ,0,0,190, False, 
42, 100 Recipes in no time at all, Spinach and Cream Cheese Parcels, 02) Snackes & Starters,11,1,6,0, ,0,0,190, False, 
43, 100 Recipes in no time at all, Herring with Apples, 02) Snackes & Starters,11,1,4,0, ,0,0,190, False, 
44, 100 Recipes in no time at all, Raymond Blanc's Summer Tomato Tart Scented with Basil, 02) Snackes & Starters,12,1,4,0, ,0,0,190, False, 
45, 100 Recipes in no time at all, Quick Smoked Fish Pate, 02) Snackes & Starters,13,1,6,0, ,0,0,190, False, 
46, 100 Recipes in no time at all, Potato Latkes (Pancakes), 02) Snackes & Starters,13,1,1,0, ,0,0,190, False, 
47, 100 Recipes in no time at all, Fiona Armstrong's Two-Pear Starter, 02) Snackes & Starters,14,1,2,0, ,0,0,190, False, 
48, 100 Recipes in no time at all, Cliff Richard's Leek and Potato soup, 01) Soups,14,1,4,0, ,0,0,190, False, 
