BookId,BookTitle,BookSubTitle,Publisher,Author,Year,Location,Copies,eCuisine,eMediaType,RecipeRef
1,Cooking, a commonsenes guide,Merehurst Ltd.,Merehurst Ltd.,2000,Shelf 1,1,United Kingdom,Book,
2,Sensational Salads, 101 recipes for simple super salads,Exclusive Editions Publishing Ltd,Exclusive Editions Publishing Ltd,2009,Shelf 1,1,United Kingdom,Book,
3,The Chateau Kitchen,Recipes from the family archives,The Chateau Publishing Ltd.,Dick & Angel Strewbridge,2021,Shelf 1,1,United Kingdom,Book,
4,One-Pot Vegetarian,Easy veggie meals in just one pot!,Hardie Grant Books (London),Sabrina Fauda-Rôle,2018,Shelf 1,1,United Kingdom,Book,
5,Victory Cookbook,Nostalic food and facts 1940-1954,Chancellor Press,Marguerite Patten OBE,2003,Shelf 1,1,United Kingdom,Book,
6,The Cook Book,Ware College 1990/91 Basic Cooking Course,Me,Jenny,1990,Shelf 1,1,United Kingdom,Book,
7,The Ultimate, Bread Machine Cookbook,Anness Publishing Ltd.,Jennie Shapter,2000,Shelf 1,1,United Kingdom,Book,
8,Hamlyn New All Colour,Cookbook (2003),Octopus Publishing Group Ltd.,Hamlyn,2003,Shelf 1,1,United Kingdom,Book,
9,Hamlyn All Colour,Cookbook (1986),Hamlyn Publishing Group Ltd.,Hamlyn,1986,Shelf 1,1,United Kingdom,Book,
10,Hamlyn All Colour,Teatime Favourites,Reed International Books Ltd.,Hamlyn,1994,Shelf 1,1,United Kingdom,Book,
11,Hamlyn All Colour,Vegetarian Cookbook,Reed International Books Ltd.,Hamlyn,1992,Shelf 1,1,United Kingdom,Book,
12,Hamlyn All Colour,Chinese Cookbook,Reed International Books Ltd.,Hamlyn,1994,Shelf 1,1,United Kingdom,Book,
13,Hamlyn All Colour,Italian Cookbook,Reed International Books Ltd.,Hamlyn,1993,Shelf 1,1,United Kingdom,Book,
14,Hamlyn All Colour,Barbecues  & summer Food,Reed International Books Ltd.,Hamlyn,1994,Shelf 1,1,United Kingdom,Book,
15,Hamlyn All Colour,Casseroles,Reed International Books Ltd.,Hamlyn,1994,Shelf 1,1,United Kingdom,Book,
16,Hamlyn All Colour,Microwave Cookbook,Reed International Books Ltd.,Hamlyn,1989,Shelf 1,1,United Kingdom,Book,
17,Hamlyn All Colour,Indian Cookbook,Reed International Books Ltd.,Hamlyn,1994,Shelf 1,1,United Kingdom,Book,
18,Hamlyn New All Colour,Cookbook (1992),Reed International Books Ltd.,Hamlyn,1992,Shelf 1,1,United Kingdom,Book,
19,Versatile Vegetables,A Feast of Good Cooking,CLB Publishing,Grange Books,1995,Shelf 1,1,United Kingdom,Book,
20,The Ultimate,30 Minute Cookbook,Anness Publishing Ltd.,Jenni Fleetwood,1998,Shelf 1,1,United Kingdom,Book,
21,The Complete Illustrated,Step by Step Cookbook,CLB Publishing,Judith Ferguson,1988,Shelf 1,1,United Kingdom,Book,
22,The Complete,Heinz Cookbook,CLB Publishing,H J Heinz Company Ltd.,1993,Shelf 1,1,United Kingdom,Book,
23,Vegetarian Bible,Freash from the garden,Exclusive Editions Publishing Ltd,Marks & Spencers PLC,2007,Shelf 1,1,United Kingdom,Book,
24,The Dairy Book,of Family Cookery,Ebury Press,The Milk Marketing Board,1983,Shelf 1,1,United Kingdom,Book,
25,WeightWatchers,The Time to Eat cookbook,Weight Watcges International Inc.,Siân Davies ,2002,Shelf 1,1,United Kingdom,Book,
26,WeightWatchers,Ready in 30 Minutes,Weight Watcges International Inc.,Wendy Veale,2000,Shelf 1,1,United Kingdom,Book,
27,WeightWatchers,Spice up your life …,Weight Watcges International Inc.,Cas Clarke,2002,Shelf 1,1,United Kingdom,Book,
28,WeightWatchers,Low Point Pasta,Weight Watcges International Inc.,Becky Johnson,2002,Shelf 1,1,United Kingdom,Book,
29,WeightWatchers,Low Point Family Meals,Weight Watcges International Inc.,Cas Clarke,2000,Shelf 1,1,United Kingdom,Book,
30,400,Three & Four Ingedient Recipes,Anness Publishing Ltd.,Jenny White & Joanna Farrow,2006,Shelf 1,1,United Kingdom,Book,
31,The Times,Cookert Book,Times Newspapers Ltd.,Kate Stewart,1972,Shelf 1,1,United Kingdom,Book,
32,The slow,Cook Book,DK UK,Emma Callery,2011,Shelf 1,1,United Kingdom,Book,
33,The Australian Women's weekly,Casseroles,ACP Magazines Ltd.,Bounty Books,2008,Shelf 1,1,United Kingdom,Book,
34,The Australian Women's weekly,Baking,ACP Magazines Ltd.,Bounty Books,2008,Shelf 1,1,United Kingdom,Book,
35,Sensational Salads,Salads,Exclusive Editions Publishing Ltd,Marks & Spencers PLC,2009,Shelf 1,1,United Kingdom,Book,
36,Bread,Simple and Delicious easy-to-make recipes for your breadmaker,Exclusive Editions Publishing Ltd,Marks & Spencers PLC,2002,Shelf 1,1,United Kingdom,Book,
37,Smoothies and Juices,Simple and Delicious easy-to-make recipes,Exclusive Editions Publishing Ltd,Marks & Spencers PLC,2002,Shelf 1,1,United Kingdom,Book,
38,Food Lovers,Salsas\Dressings & Sauces,Transatlantic Press,StockFood,2011,Shelf 1,1,United Kingdom,Book,
39,Quick Step-by-Step,The tasty Low-Fat Cookbook,Murdock Books,Murdock Books,2001,Shelf 1,1,United Kingdom,Book,
40,Food Lovers,Vegetarian,Transatlantic Press,StockFood,2011,Shelf 1,1,United Kingdom,Book,
41,Cooking for,Diabetics,Anness Publishing Ltd.,Michelle Berriedale-Johnson,2003,Shelf 1,1,United Kingdom,Book,
42,Microwave Know-How,7,Marshall Cavendish,Linda Fraser,1985,Shelf 1,1,United Kingdom,Book,
43,Microwave Know-How,10,Marshall Cavendish,Linda Fraser,1985,Shelf 1,1,United Kingdom,Book,
44,Microwave Know-How,11,Marshall Cavendish,Linda Fraser,1985,Shelf 1,1,United Kingdom,Book,
45,Microwave Know-How,12,Marshall Cavendish,Linda Fraser,1985,Shelf 1,1,United Kingdom,Book,
46,WeightWatchers,The Handbook,Weight Watcges International Inc.,Weight Watcges International Inc.,2003,Shelf 1,1,United Kingdom,Book,
47,100 Recipes,in no time at all,BBC Books,Viewers of Challenge Anneka,1994,Shelf 1,2,United Kingdom,Book,
48,A Taste of,Norfolk,British Food and Farming,Mary Norwak,1989,Shelf 2,1,United Kingdom,Book,
49,The Crisis,Cook Book,Marks & Spencers PLC,Various,2008,Shelf 2,1,United Kingdom,Book,
50,Sharp Microwave,Cookery Book,Shrap Electronics (UK),Shrap Electronics (UK),0,Shelf 2,1,United Kingdom,Book,
51,Thai,,Parragon Book,Parragon Book,2004,Shelf 2,1,United Kingdom,Book,
52,Paul Hollywood's,Bread,BBC Books,Paul Hollywood,2013,Shelf 2,1,United Kingdom,Book,
53,Mary Berry,Cooks,BBC Books,Mary Berry,2014,Shelf 2,1,United Kingdom,Book,
54,Reader's Digest,The Cook's Scrapbook,Reader's Digest Ass. Ltd.,Reader's Digest Ass. Ltd.,1995,Shelf 2,1,United Kingdom,Book,
55,Cook,with Jamie,Penguin Books,Jamie Oliver,2006,Shelf 2,1,United Kingdom,Book,
56,Jamie Oliver,Jamie's Dinners - the essential cookbook,Penguin Books,Jamie Oliver,2004,Shelf 2,1,United Kingdom,Book,
57,Jamie Oliver,Happy Days with the Naked Chef,Penguin Books,Jamie Oliver,2001,Shelf 2,1,United Kingdom,Book,
58,Delia Smith's,Complete Illustrated Cookery Course,BBC Books,Delia Smith,1978,Shelf 3,1,United Kingdom,Book,
59,A good Housekeeping,Cookery Compendium,The National Magazine Co. Ltd.,The National Magazine Co. Ltd.,1952,Shelf 3,1,United Kingdom,Book,
60,Slimming World's,Best Ever Recipes,Ebury Press,Slimming World,2009,Shelf 3,1,United Kingdom,Book,
61,The Dairy Book,of Home Cookery,Milk Marketing Board,Milk Marketing Board,1992,Shelf 3,1,United Kingdom,Book,
62,Milk Marketing Board's,The Pennywise Cookbook,Milk Marketing Board,Milk Marketing Board,1973,Shelf 3,1,United Kingdom,Book,
63,Cooking,For Two,Chancellor Press,Rhona Newman,1980,Shelf 3,1,United Kingdom,Book,
64,Loose Recipes 1,(Magazines),Various,Various,0,Shelf 1,1,United Kingdom,Book,
65,Tower,Slo-Cooker recipes Instructions & Guarantee,Tower's Home Economist,Tower's Home Economist,0,Kitchen Cupboard,1,United Kingdom,Book,
66,Good Cook's,Scrape Book,Various,Various,0,Kitchen Cupboard,1,United Kingdom,Book,
67,Tesco,International Cookery,Tesco,Tesco,0,Kitchen Cupboard,1,United Kingdom,Book,
