RecipeId,FullTitle,RecipeTitle,ChapterFk,Referance,Makes,Serving,Quantity, QtyType,Preparation,Cooking,Cuisine,Favourite, Image
1, The Cook Book Ware College 1990/91 Basic Cooking Course, Plain Scones, 10) Cakes and Bakes,2,12,1,0, ,0,0,190, False, 
2, The Cook Book Ware College 1990/91 Basic Cooking Course, Meat Pie, 07) Meat Dishes - Beef,3,1,4,0, ,0,0,190, False, 
3, The Cook Book Ware College 1990/91 Basic Cooking Course, Apple Pie, 09) Desserts,4,1,6,0, ,0,0,190, False, 
4, The Cook Book Ware College 1990/91 Basic Cooking Course, Victoria Jam Sandwich, 10) Cakes and Bakes,5,1,6,0, ,0,0,190, False, 
5, The Cook Book Ware College 1990/91 Basic Cooking Course, Macaroni Cheese, 05) Vegitaian Dishes,6,1,4,0, ,0,0,190, False, 
6, The Cook Book Ware College 1990/91 Basic Cooking Course, Cauliflower Cheese, 03) Vegitables and Salads,6,1,4,0, ,0,0,190, False, 
7, The Cook Book Ware College 1990/91 Basic Cooking Course, Pizza, 04) Pizza\Noddles\Pasta and Rice,7,1,6,0, ,0,0,190, False, 
8, The Cook Book Ware College 1990/91 Basic Cooking Course, Shephards Pie, 07) Meat Dishes - Lamb,8,1,4,0, ,0,0,190, False, 
9, The Cook Book Ware College 1990/91 Basic Cooking Course, Cottage Pie, 07) Meat Dishes - Beef,8,1,4,0, ,0,0,190, False, 
10, The Cook Book Ware College 1990/91 Basic Cooking Course, Sausage Rolls, 07) Meat Dishes - Pork,9,6,1,0, ,0,0,190, False, 
11, The Cook Book Ware College 1990/91 Basic Cooking Course, Mince Pies, 10) Cakes and Bakes,10,12,1,0, ,0,0,190, False, 
12, The Cook Book Ware College 1990/91 Basic Cooking Course, Beef and Vegetable casserole, 07) Meat Dishes - Beef,11,1,4,0, ,0,0,190, False, 
13, The Cook Book Ware College 1990/91 Basic Cooking Course, Chicken Cacciatore, 08) Poultry Dishes - Chicken,12,1,4,0, ,0,0,190, False, 
14, The Cook Book Ware College 1990/91 Basic Cooking Course, Potato Peeks, 03) Vegitables and Salads,12,1,4,0, ,0,0,190, False, 
15, The Cook Book Ware College 1990/91 Basic Cooking Course, Sponge Fruit Flan, 09) Desserts,13,1,6,0, ,0,0,190, False, 
16, The Cook Book Ware College 1990/91 Basic Cooking Course, Roast Shoulder of Lamb, 07) Meat Dishes - Lamb,14,1,4,0, ,0,0,190, True, 
17, The Cook Book Ware College 1990/91 Basic Cooking Course, Yorkshire Pudding, 10) Cakes and Bakes,15,1,4,0, ,0,0,190, False, 
18, The Cook Book Ware College 1990/91 Basic Cooking Course, Chocolate Swiss Roll, 10) Cakes and Bakes,16,1,6,0, ,0,0,190, False, 
19, The Cook Book Ware College 1990/91 Basic Cooking Course, Lemon Mering Pie, 09) Desserts,17,1,6,0, ,0,0,190, False, 
20, The Cook Book Ware College 1990/91 Basic Cooking Course, Savoury Gougere, 11) Party Food,18,1,4,0, ,0,0,190, False, 
21, The Cook Book Ware College 1990/91 Basic Cooking Course, Leek and Potato soup, 01) Soups,19,1,4,0, ,0,0,190, False, C:\Users\we364\source\repos\RecipeBooks2\RecipeBooks\bin\Debug\net6.0-windows\Images\leek and potato soup.jpeg
22, The Cook Book Ware College 1990/91 Basic Cooking Course, Fishermans Pie, 06) Fish Dishes,20,1,4,0, ,0,0,190, False, 
23, The Cook Book Ware College 1990/91 Basic Cooking Course, Chicken Liver Pata, 08) Poultry Dishes - Chicken,21,1,4,0, ,0,0,190, False, 
24, The Cook Book Ware College 1990/91 Basic Cooking Course, Melba Toast, 11) Party Food,21,1,1,0, ,0,0,190, False, 
25, The Cook Book Ware College 1990/91 Basic Cooking Course, Vegetable Curry, 05) Vegitaian Dishes,23,1,4,0, ,0,0,81, False, 
26, The Cook Book Ware College 1990/91 Basic Cooking Course, Boiled Fruit Cake, 10) Cakes and Bakes,24,1,6,0, ,0,0,190, False, 
27, The Cook Book Ware College 1990/91 Basic Cooking Course, Rock Buns, 10) Cakes and Bakes,25,10,1,0, ,0,0,190, False, 
28, The Cook Book Ware College 1990/91 Basic Cooking Course, Beef Cobbler, 07) Meat Dishes - Beef,26,1,4,0, ,0,0,190, False, 
29, The Cook Book Ware College 1990/91 Basic Cooking Course, Lemon Cheesecake, 09) Desserts,27,1,6,0, ,0,0,190, False, 
30, The Cook Book Ware College 1990/91 Basic Cooking Course, Sweet and Sour Pork, 07) Meat Dishes - Pork,28,1,4,0, ,0,0,37, False, 
31, The Cook Book Ware College 1990/91 Basic Cooking Course, Mocha Gateau, 10) Cakes and Bakes,29,1,6,0, ,0,0,190, False, 
32, The Cook Book Ware College 1990/91 Basic Cooking Course, Roast Chicken, 08) Poultry Dishes - Chicken,14,1,6,0, ,0,0,190, True, 
134, The Cook Book Ware College 1990/91 Basic Cooking Course, Mince Beef en Croute, 07) Meat Dishes - Beef,22,1,4,0, ,0,0,190, True, 
135, The Cook Book Ware College 1990/91 Basic Cooking Course, Vegetable Stock, 05) Vegitaian Dishes,19,1,0,0.25, pint (pt) [UK],0,0,-1, True, 
